# TTS generation list - ALL anya lines from script (regeneration)
# Total: 394 files
# Format: character_number | character_name | text
anya_0001 | anya | ！
anya_0002 | anya | 你在干什么？！
anya_0003 | anya | 你偷拍我？
anya_0004 | anya | 少废话，拿过来。
anya_0005 | anya | ……这张照片，是你拍的？
anya_0006 | anya | 你叫什么名字？哪个学校的？
anya_0007 | anya | 山城大学设计系……大二？
anya_0008 | anya | 我也是这所学校的，大一服装设计方向。
anya_0009 | anya | 做我的品牌视觉设计师兼摄影师吧。
anya_0010 | anya | 我有一个独立Lolita品牌「暗夜蔷薇」，缺专属摄影师和视觉设计。
anya_0011 | anya | 工资按项目结算，一张精修图50，一套海报300，拍摄一天800。比你去街头画头像或者做家教强多了。
anya_0012 | anya | 我看得出来，你是有真本事的人。之前找的三个摄影师，拍出来的东西要么像淘宝爆款，要么像影楼婚纱照。
anya_0013 | anya | 但你这张照片，抓住了我想要的那种「破碎感」和「倔强感」。
anya_0014 | anya | 怎么，怕麻烦不敢接？也是，很多人看着有点天赋，真要落地做事就退缩了。
anya_0015 | anya | 成交！这点我没问题。表现好的话，还有奖金。
anya_0016 | anya | 加个好友吧，我晚上把品牌资料、设计稿发给你，明天下午我们约个时间在老城区的老茶馆讨论一下具体的工作内容。
anya_0017 | anya | 明天见，林辰。别迟到，我最讨厌等人了。
anya_0018 | anya | 要你管啊，我体寒。
anya_0019 | anya | 你走快点行不行？磨磨蹭蹭的。前面那个巷子看起来不错，我们去看看。
anya_0020 | anya | 嗯……这里的墙壁太新了，没有那种年代感。而且光线太散了，拍出来会显得脸很平。
anya_0021 | anya | 那边那个门怎么样？就是那个绿色的木门，上面有铜环的那个。
anya_0022 | anya | 嗯，有道理。那我们再往前走走。
anya_0023 | anya | 哇！这里太棒了！
anya_0024 | anya | 你看这个光影！太完美了！还有这个铁门的质感，和我的新款裙子简直是绝配！
anya_0025 | anya | 林辰，你快过来看看！站在这里拍怎么样？还有这里！
anya_0026 | anya | 好！那我们就定在后天下午三点在这里拍摄！
anya_0027 | anya | 太好了！终于找到合适的地方了！我之前找了好几个地方，从文创园到江边步道，都不满意。
anya_0028 | anya | 哼，算你有眼光。
anya_0029 | anya | 啊？怎么突然下雨了？
anya_0030 | anya | 糟了！我没带伞！
anya_0031 | anya | ……
anya_0032 | anya | 那……那我们一起撑吧。
anya_0033 | anya | 呼……差点就被淋湿了。这雨怎么说下就下啊。
anya_0034 | anya | ……
anya_0035 | anya | 那……我们进去坐一会儿吧。
anya_0036 | anya | 我要一碗红糖冰粉，多加点山楂碎和花生碎。
anya_0037 | anya | （望着窗外的雨）不知道这雨什么时候才能停。
anya_0038 | anya | 对了，我把新款裙子的样衣带来了，你看看。
anya_0039 | anya | 这是我这个季度的主打款，名字叫「星夜」。我花了三个月才设计好，光是刺绣就改了五次。
anya_0040 | anya | 我跑了十几家工厂，从山城跑到隔壁省城，才找到一家愿意做这种复杂刺绣的。很多工厂都嫌麻烦，不愿意接小单子。
anya_0041 | anya | ……
anya_0042 | anya | 因为我想做自己真正喜欢的东西。
anya_0043 | anya | 大公司的设计师，都要按照市场的需求来设计。什么好卖就设计什么，根本没有自己的想法。我不想那样。我想设计出能真正表达我自己的衣服。
anya_0044 | anya | 虽然现在很难，品牌也没什么名气，赚的钱也只够勉强维持。但我相信，只要我坚持下去，总会有人喜欢我的设计的。
anya_0045 | anya | 我一定要让「暗夜蔷薇」成为全国最有名的Lolita品牌！
anya_0046 | anya | 哼……那是当然。也不看看我是谁。
anya_0047 | anya | 谢谢老板娘。
anya_0048 | anya | 哇，好好吃！比我之前在市中心吃的那家还要好吃。
anya_0049 | anya | 真的哎！太好了，终于可以回去了。
anya_0050 | anya | 老板娘，结账。
anya_0051 | anya | 哼……那好吧。下次我请你吃火锅。
anya_0052 | anya | 对了，林辰。后天拍摄的时候，你记得带反光板和补光灯。还有，你最好穿黑色的衣服，这样不会在裙子上反光。
anya_0053 | anya | 哼，最好是这样。要是拍不好，我可是会扣你工资的。
anya_0054 | anya | 我到了。我住女生宿舍，你就不用送进去了。
anya_0055 | anya | 嗯。记得别迟到。还有，别忘了带反光板和补光灯。
anya_0056 | anya | 那我进去了。拜拜。
anya_0057 | anya | 哦，对了！林辰。
anya_0058 | anya | 今天……谢谢你。陪我找了一下午的拍摄地，还请我吃了冰粉。
anya_0059 | anya | 还有……你拍的照片，真的很好看。
anya_0060 | anya | 你来得挺早的嘛。我还以为你会迟到呢。
anya_0061 | anya | 哇，你装备挺齐全的啊。比我之前找的那个摄影师专业多了。
anya_0062 | anya | 你偷拍我？
anya_0063 | anya | 上来就要好友？你这人还真是直接。
anya_0064 | anya | 先把照片给我看看，拍得不好，不光删图，别想再搭话。
anya_0065 | anya | ……没想到构图和光影居然这么到位。
anya_0066 | anya | 巧了，我也是山城大学的，大一服装设计。这身裙子就是我自己设计的。
anya_0067 | anya | 看你也算有点审美。正好，我缺摄影师和视觉设计，要不要来帮我做事？顺便……好友也可以加。
